quine	time	sincelast
258	3795244.276	40811.205
259	3939191.454	143947.178
260	3981734.091	42542.637
261	4038020.8	56286.709
262	4050243.176	12222.376
263	4054915.725	4672.549
264	4081677.211	26761.486
265	4094652.029	12974.818
266	4094930.847	278.818
267	4112577.654	17646.807
268	4120127.984	7550.33
269	4133831.302	13703.318
270	4150894.587	17063.285
271	4158007.715	7113.128
272	4163139.007	5131.292
273	4166813.478	3674.471
274	4187368.501	20555.023
275	4193306.087	5937.586
276	4207194.329	13888.242
277	4219499.623	12305.294
278	4228148.471	8648.848
279	4234550.927999999	6402.457
280	4287457.481000001	52906.553
281	4311993.346	24535.865
282	4317916.864	5923.518
283	4348973.079	31056.215
284	4372764.581	23791.502
285	4380193.912	7429.331
286	4387413.140000001	7219.228
287	4398576.758	11163.618
288	4399613.911	1037.153
289	4413504.791	13890.88
290	4418367.585	4862.794
291	4425592.592	7225.007
292	4428447.077	2854.485
293	4465230.556	36783.479
294	4500081.872	34851.316
295	4504931.103	4849.231
296	4507975.804	3044.701
297	4521882.829	13907.025
298	4524884.163	3001.334
299	4537041.195	12157.032
300	4565494.539	28453.344
301	4567110.001	1615.462
302	4578099.953	10989.952
303	4584436.723	6336.77
304	4587624.509	3187.786
305	4629856.818	42232.309
306	4655408.519	25551.701
307	4801566.725	146158.206
308	4819245.637	17678.912
309	4976234.87	156989.233
310	4982435.588	6200.718
311	5015666.955	33231.367
312	5257060.374	241393.419
313	5358883.404	101823.03
