quine	time	sincelast
286	103650.396	97.671
287	104951.584	1301.188
288	105272.03	320.446
289	105932.771	660.741
290	107457.53	1524.759
291	107704.782	247.252
292	108905.916	1201.134
293	110387.953	1482.037
294	110623.719	235.766
295	110792.116	168.397
296	110807.287	15.171
297	114429.416	3622.129
298	115000.938	571.522
299	115254.732	253.794
300	116599.497	1344.765
301	116706.097	106.6
302	117562.083	855.986
303	119577.08	2014.997
304	120437.747	860.667
305	122248.573	1810.826
306	122498.341	249.768
307	123254.794	756.453
308	123298.44	43.646
309	123661.721	363.281
310	123761.455	99.734
311	123901.369	139.914
312	125561.531	1660.162
313	125875.397	313.866
314	126011.413	136.016
315	126569.128	557.7149999999999
316	129037.777	2468.649
317	131149.339	2111.562
318	131173.711	24.372
319	131402.941	229.23
320	131443.912	40.971
321	131995.022	551.11
322	132484.394	489.372
323	132606.827	122.433
324	133231.64299999998	624.816
325	133297.386	65.743
326	133543.49	246.104
327	135034.97999999998	1491.49
328	137088.154	2053.174
329	137713.011	624.857
330	138721.372	1008.361
331	139526.571	805.199
332	139625.04499999998	98.474
333	141085.971	1460.926
334	141276.186	190.215
335	141560.803	284.617
336	141594.331	33.528
337	142267.709	673.378
338	142368.892	101.183
339	143550.249	1181.357
340	143709.899	159.65
341	143771.393	61.494
342	143809.444	38.051
343	143988.207	178.763
344	144745.419	757.212
345	146979.422	2234.003
346	147605.891	626.469
347	147797.634	191.743
348	147800.936	3.302
349	148600.249	799.313
350	148631.707	31.458
351	149870.603	1238.896
352	152069.358	2198.755
353	152142.343	72.985
354	152557.007	414.664
355	152573.191	16.183999999999997
356	152867.493	294.302
357	153304.479	436.986
358	153638.089	333.61
359	154385.07	746.981
360	155006.802	621.732
361	155139.717	132.91500000000002
362	155151.228	11.511
363	155201.534	50.306
364	156368.486	1166.952
365	157404.61	1036.124
366	158590.178	1185.568
367	159125.459	535.281
368	161983.599	2858.14
369	162347.821	364.222
370	163239.058	891.237
371	167830.797	4591.739
372	168212.7	381.903
373	168743.097	530.397
374	174389.939	5646.842
375	176254.707	1864.768
376	176574.888	320.181
377	179530.17	2955.282
378	182016.387	2486.217
379	182477.055	460.668
380	182589.598	112.543
381	184576.732	1987.134
382	184949.77	373.038
383	187033.417	2083.647
384	189192.195	2158.778
385	189545.655	353.46
386	189548.041	2.386
387	191369.702	1821.661
388	192116.838	747.136
389	192523.631	406.793
390	199133.449	6609.818
391	199708.905	575.456
392	200044.772	335.867
393	200387.392	342.62
394	202355.93	1968.538
