quine	time	sincelast
284	110048.495	1877.316
285	110359.983	311.488
286	110465.982	105.999
287	111859.776	1393.794
288	112205.759	345.983
289	112915.584	709.825
290	114549.656	1634.072
291	114812.376	262.72
292	116085.048	1272.672
293	117746.558	1661.51
294	118001.784	255.226
295	118179.341	177.557
296	118196.531	17.189999999999998
297	122169.593	3973.062
298	122792.399	622.806
299	123068.626	276.227
300	124558.258	1489.632
301	124670.618	112.36
302	125604.307	933.689
303	127907.123	2302.816
304	128978.098	1070.975
305	131058.423	2080.325
306	131357.324	298.901
307	132206.959	849.635
308	132249.473	42.514
309	132647.327	397.854
310	132762.37900000002	115.052
311	132912.001	149.622
312	134713.534	1801.533
313	135057.025	343.491
314	135202.778	145.753
315	135800.488	597.71
316	138526.849	2726.361
317	140785.59	2258.741
318	140811.27000000002	25.68
319	141044.574	233.304
320	141088.732	44.158
321	141665.361	576.629
322	142177.133	511.772
323	142297.334	120.201
324	142942.959	645.625
325	143011.762	68.803
326	143266.966	255.204
327	144843.933	1576.967
328	147095.108	2251.175
329	147754.342	659.234
330	148844.682	1090.3400000000001
331	149701.801	857.119
332	149805.576	103.775
333	151399.475	1593.899
334	151614.469	214.994
335	151924.963	310.494
336	151969.91499999998	44.952
337	152735.282	765.367
338	152851.636	116.354
339	154133.327	1281.691
340	154301.06	167.733
341	154370.981	69.921
342	154414.501	43.52
343	154619.975	205.474
344	155439.942	819.967
345	157948.408	2508.466
346	158625.737	677.329
347	158832.508	206.771
348	158836.196	3.688
349	159697.577	861.381
350	159731.149	33.572
351	161049.134	1317.985
352	163369.878	2320.744
353	163456.278	86.4
354	163900.339	444.061
355	163916.89	16.551
356	164255.822	338.932
357	164723.922	468.1
358	165085.062	361.14
359	165879.166	794.104
360	166553.543	674.377
361	166695.303	141.76
362	166708.035	12.732
363	167980.528	1272.493
364	168083.779	103.251
365	169190.029	1106.25
366	170461.001	1270.972
367	171044.237	583.236
368	174078.055	3033.818
369	174455.231	377.176
370	175407.913	952.682
371	180357.268	4949.355
372	180774.668	417.4
373	181347.083	572.415
374	187284.172	5937.089
375	189353.311	2069.139
376	189707.399	354.088
377	192886.92	3179.521
378	195541.366	2654.446
379	196034.362	492.996
380	196158.405	124.043
381	198269.37	2110.965
382	198676.732	407.362
383	200954.753	2278.021
384	203277.002	2322.249
385	203668.166	391.164
386	203670.856	2.69
387	205613.659	1942.803
388	206427.494	813.835
389	206871.374	443.88
390	213929.041	7057.667
391	214560.216	631.175
392	214938.403	378.187
393	215323.046	384.643
394	217449.189	2126.143
395	217585.343	136.154
396	218886.299	1300.956
397	226142.221	7255.922
398	226561.815	419.594
399	227708.003	1146.188
400	229319.601	1611.598
